	code	name	start	end	logic
5	GZU2	sl_tp	17454.43514514478	17471.300000000003	8
6	GZU2	tp_start	17471.300000000003	17496.78242742761	8
7	GZU2	start	17496.78242742761	17501.266666666666	8
8	GZU2	observe	17501.266666666666	17516.43514514478	8
9	GZU2	sl_tp	17516.43514514478	17538.466666666667	8
10	GZU2	tp_start	17538.466666666667	17558.78242742761	8
11	GZU2	start	17558.78242742761	17563.266666666666	8
12	GZU2	observe	17563.266666666666	17578.43514514478	8
13	GZU2	sl_tp	17578.43514514478	17600.466666666667	8
14	GZU2	tp_start	17600.466666666667	17620.78242742761	8
15	GZU2	start	17620.78242742761	17684.166666666668	8
16	GZU2	observe	17684.166666666668	17813.333333333332	8
17	GZU2	sl_tp	17813.333333333332	17839.166666666668	7
18	GZU2	tp_start	17839.166666666668	17879.115760760942	7
