,price,volume,std,sec,min_start,max_start,end,sl,mid,down,prev_end,next_sl,implied_prob
5,61.078686868686866,340540.0,0.05278925361724321,RTKM,60.68450642533441,60.76580808080808,61.033989898989894,60.51252525252525,60.63171717171717,60.03575757575757,60.57212121212121,60.97310836145238,0.4077591874877206
6,61.40646464646464,238389.5,0.05278925361724321,RTKM,61.13147612230411,61.1770202020202,61.37368686868686,60.97310836145238,61.078686868686866,60.63171717171717,61.033989898989894,61.30088613923016,0.45219550584560536
7,62.032222222222224,43404.5,0.05278925361724321,RTKM,61.45925390008188,61.594191919191914,61.969646464646466,61.30088613923016,61.40646464646464,61.078686868686866,61.37368686868686,61.90707070707071,0.33769462963604924
8,62.36,0.0,0.05278925361724321,RTKM,62.085011475839465,62.13055555555556,62.32722222222222,61.90707070707071,62.032222222222224,61.40646464646464,61.969646464646466,,0.4777153036195181
0,165.1,0.0,0.9261661226489017,SPBE,,,,,,,,132.08,
1,171.54545454545453,5848512.5,0.9261661226489017,SPBE,166.0261661226489,167.03363636363636,170.90090909090907,132.08,165.1,0,,,0.887405834893495
2,174.41010101010102,5828602.0,0.9261661226489017,SPBE,,,,,171.54545454545453,165.1,170.90090909090907,,
3,176.55858585858584,5866746.0,0.9261661226489017,SPBE,,,,,174.41010101010102,171.54545454545453,,174.70625361328803,
4,185.86868686868686,9785422.5,0.9261661226489017,SPBE,177.48475198123475,179.35161616161616,184.93767676767675,174.70625361328803,176.55858585858584,174.41010101010102,,184.00666666666666,0.36279708131758925
5,204.48888888888888,23592691.0,0.9261661226489017,SPBE,186.79485299133577,191.45474747474748,202.62686868686868,184.00666666666666,185.86868686868686,176.55858585858584,184.93767676767675,,0.27486992680434147
6,206.63737373737374,23019774.0,0.9261661226489017,SPBE,,,,,204.48888888888888,185.86868686868686,202.62686868686868,204.78504149207592,
7,213.08282828282827,21358446.0,0.9261661226489017,SPBE,207.56353986002264,208.5710101010101,212.4382828282828,204.78504149207592,206.63737373737374,204.48888888888888,,211.23049603753046,0.42886841591058456
8,216.66363636363636,21616227.0,0.9261661226489017,SPBE,214.00899440547718,214.1570707070707,216.30555555555554,211.23049603753046,213.08282828282827,206.63737373737374,212.4382828282828,214.81130411833854,0.5620695695512782
9,222.3929292929293,21955283.0,0.9261661226489017,SPBE,217.58980248628527,218.38242424242424,221.82,214.81130411833854,216.66363636363636,213.08282828282827,216.30555555555554,,0.4529814532719626
10,224.54141414141415,22191335.0,0.9261661226489017,SPBE,,,,,222.3929292929293,216.66363636363636,221.82,222.68908189611633,
11,236.0,0.0,0.9261661226489017,SPBE,225.46758026406306,227.9789898989899,234.85414141414142,222.68908189611633,224.54141414141415,222.3929292929293,,,0.33162214943812074
0,29.54,0.0,0.06944091617115329,FESH,,,,,,,,23.632,
1,30.04181818181818,32295.5,0.06944091617115329,FESH,29.609440916171152,29.690545454545454,29.99163636363636,23.632,29.54,0,,29.902936349475873,0.9462794476376779
2,30.71090909090909,135497.0,0.06944091617115329,FESH,30.111259097989333,30.242545454545454,30.644,29.902936349475873,30.04181818181818,29.54,29.99163636363636,30.572027258566784,0.3696928416307467
3,31.38,245960.5,0.06944091617115329,FESH,30.780350007080244,30.91163636363636,31.31309090909091,30.572027258566784,30.71090909090909,30.04181818181818,30.644,31.241118167657692,0.3696928416307467
4,31.993333333333332,95928.0,0.06944091617115329,FESH,31.449440916171152,31.564,31.932,31.241118167657692,31.38,30.71090909090909,31.31309090909091,31.854451500991026,0.3844395350901137
5,32.3,0.0,0.06944091617115329,FESH,32.062774249504486,32.08533333333333,32.26933333333333,31.854451500991026,31.993333333333332,31.38,31.932,,0.5293128628652358
0,410.4,0.0,0.7859491076472753,TATN,,,,,,,,328.32,
1,416.1909090909091,5307214.0,0.7859491076472753,TATN,411.1859491076473,412.1372727272727,415.6118181818182,328.32,410.4,0,,,0.9547471074994635
2,418.4181818181818,4809619.0,0.7859491076472753,TATN,,,,,416.1909090909091,410.4,415.6118181818182,416.84628360288724,
3,423.76363636363635,2822258.0,0.7859491076472753,TATN,419.2041309258291,420.02181818181816,423.22909090909087,416.84628360288724,418.4181818181818,416.1909090909091,,,0.4334598897020366
4,425.5454545454545,2782597.5,0.7859491076472753,TATN,,,,,423.76363636363635,418.4181818181818,423.22909090909087,,
5,427.77272727272725,2445880.0,0.7859491076472753,TATN,,,,,425.5454545454545,423.76363636363635,,,
6,430.0,2359654.0,0.7859491076472753,TATN,,,,,427.77272727272725,425.5454545454545,,428.42810178470546,
